time,cpu@tsung_controller@ip-172-31-28-38 
0,2.661440701909395 
10,2.797202797202797 
20,2.797202797202797 
30,2.797202797202797 
40,2.797202797202797 
50,2.797202797202797 
60,2.797202797202797 
70,2.797202797202797 
80,2.797202797202797 
90,2.797202797202797 
100,3.726082578046324 
110,5.633802816901409 
120,7.745779543197617 
130,7.745779543197617 
140,7.745779543197617 
150,7.745779543197617 
160,7.745779543197617 
170,7.745779543197617 
180,7.745779543197617 
190,7.745779543197617 
200,7.745779543197617 
210,7.745779543197617 
220,7.745779543197617 
230,7.745779543197617 
240,7.745779543197617 
246,7.745779543197617 
