time,502,200,500,302 
90,174,934,,1640 
100,784,1090,26,1843 
110,1809,1199,102,2020 
120,2839,1301,222,2280 
130,3853,1390,383,2572 
140,4764,1490,567,2912 
150,5582,1579,775,3270 
160,6256,1691,995,3644 
170,6935,1795,1205,3943 
180,7236,1903,1485,4321 
190,7455,2020,1756,4669 
200,7473,2144,2047,5031 
210,7473,2286,2344,5376 
220,7473,2423,2510,5708 
230,7473,2483,2566,5856 
240,7473,2513,2580,5909 
246,7473,2515,2580,5912 
