time,sentpackets@tsung_controller@ip-172-31-28-38 
10,497 
20,497 
30,782 
40,995 
50,1426 
60,1492 
70,1727 
80,1727 
90,1727 
100,2338 
110,3239 
120,3759 
130,3908 
140,4573 
150,4573 
160,4573 
170,4573 
180,4573 
190,4573 
200,4573 
210,4573 
220,4573 
230,4573 
240,4573 
246,4573 
