time,cpu@tsung_controller@ip-172-31-28-38 
0,2.661440701909395 
10,2.661440701909395 
20,0.7992007992007992 
30,0.7992007992007992 
40,0.7992007992007992 
50,0.7992007992007992 
60,0.7992007992007992 
70,0.7992007992007992 
80,0.7992007992007992 
90,0.7992007992007992 
100,0.7992007992007992 
110,0.7992007992007992 
120,0.7992007992007992 
130,0.7992007992007992 
140,0.7992007992007992 
150,0.7992007992007992 
160,0.7992007992007992 
170,0.7992007992007992 
180,0.7992007992007992 
190,0.7992007992007992 
200,0.7992007992007992 
210,0.7992007992007992 
220,0.7992007992007992 
230,0.7992007992007992 
240,0.7992007992007992 
246,0.7992007992007992 
