time,page 
0,64.85456818181818 
10,54.24958333333335 
20,74.3778220338983 
30,106.23357222222221 
40,197.99138970588243 
50,701.6515189873409 
60,1134.498856741571 
70,1993.8266335403741 
80,2766.094875706216 
90,2675.7545836431223 
100,1744.018217391305 
110,1119.9015839753467 
120,1265.1473111432701 
130,1224.9492377873576 
140,1194.3157112417348 
150,1145.9886581132114 
160,1371.5494647773278 
170,1321.0151445993042 
180,1760.3395114107868 
190,1836.7526812796204 
200,1914.7601877667144 
210,1641.4339606414 
220,603.317274725274 
230,90.93977973568285 
240,37.566012820512825 
246,86.8915 
