time,recvpackets@tsung_controller@ip-172-31-22-225 
10,154 
20,583 
30,818 
40,1388 
50,1615 
60,2096 
70,2495 
80,2495 
90,2495 
100,2495 
110,2809 
120,3316 
130,5139 
140,5873 
150,6469 
160,13166 
170,20005 
180,25636 
190,26421 
200,26421 
210,26421 
220,26421 
230,26421 
240,26421 
250,26421 
260,26421 
270,26421 
280,26421 
