time,cpu@tsung_controller@ip-172-31-22-225 
0,1.8357385398981325 
10,0.8008008008008007 
20,3.106212424849699 
30,0.7021063189568706 
40,0.8040201005025126 
50,1.6016016016016015 
60,2.2977022977022976 
70,4.083665338645418 
80,2.106318956870612 
90,2.6026026026026026 
100,3.413654618473896 
110,5.628140703517588 
120,8.185404339250493 
130,10.56268509378085 
140,12.376237623762377 
150,14.047151277013754 
160,22.50252270433905 
170,31.809145129224653 
180,35.509396636993074 
190,29.858299595141702 
200,32.15725806451613 
210,23.53525322740814 
220,20.44790652385589 
230,16.200578592092572 
240,13.228035538005923 
250,11.04594330400782 
260,8.687068114511352 
270,3.8038038038038042 
280,1.3972055888223553 
