time,users_count,finish_users_count 
0,9,0 
10,27,0 
20,30,0 
30,37,0 
40,59,0 
50,80,1 
60,106,1 
70,142,2 
80,194,3 
90,274,6 
100,345,10 
110,441,21 
120,564,25 
130,727,34 
140,862,42 
150,1171,57 
160,1465,87 
170,1622,149 
180,1622,240 
190,1622,378 
200,1622,528 
210,1622,695 
220,1622,880 
230,1622,1095 
240,1622,1283 
250,1622,1479 
260,1622,1580 
270,1622,1613 
280,1622,1622 
281,1622,1622 
