time,cpu@tsung_controller@ip-172-31-22-225 
0,1.8357385398981325 
10,1.8357385398981325 
20,3.106212424849699 
30,3.106212424849699 
40,3.106212424849699 
50,3.106212424849699 
60,3.106212424849699 
70,4.083665338645418 
80,4.083665338645418 
90,4.083665338645418 
100,4.083665338645418 
110,5.628140703517588 
120,8.185404339250493 
130,10.56268509378085 
140,12.376237623762377 
150,14.047151277013754 
160,22.50252270433905 
170,31.809145129224653 
180,35.509396636993074 
190,35.509396636993074 
200,35.509396636993074 
210,35.509396636993074 
220,35.509396636993074 
230,35.509396636993074 
240,35.509396636993074 
250,35.509396636993074 
260,35.509396636993074 
270,35.509396636993074 
280,35.509396636993074 
