time,error_connection_closed,error_send_einval 
170,0.1,0 
180,0.2,0 
190,0.2,0.1 
200,0.2,0 
210,0,0 
220,0,0 
230,0,0 
240,0,0 
250,0,0 
260,0,0 
270,0,0 
280,0,0 
281,0,0 
