time,502,200,500,302 
90,117,935,,1621 
100,603,1077,13,1815 
110,1613,1167,75,2002 
120,3077,1289,187,2189 
130,5340,1412,318,2398 
140,8283,1525,491,2621 
150,12590,1683,745,2855 
160,18556,1814,927,2994 
170,25522,1958,1212,3171 
180,32215,2097,1690,3444 
190,37858,2251,2273,3776 
200,42511,2430,2966,4147 
210,46121,2604,3801,4560 
220,48938,2780,4621,4938 
230,50366,2970,5482,5385 
240,50711,3176,6291,5870 
250,50711,3407,6908,6360 
260,50711,3512,7128,6616 
270,50711,3540,7160,6679 
280,50711,3547,7163,6692 
281,50711,3547,7163,6692 
