time,recvpackets@tsung_controller@ip-172-31-22-225 
10,154 
20,583.0 
30,818.0 
40,1388.0 
50,1615.0 
60,2096.0 
70,2495.0 
80,2325.0 
90,2238.0 
100,2495.0 
110,2809.0 
120,3316.0 
130,5139.0 
140,5873.0 
150,6469.0 
160,13166.0 
170,20005.0 
180,25636.0 
190,26421.0 
200,23924.0 
210,18475.0 
220,13583.0 
230,9899.0 
240,8692.0 
250,7432.0 
260,6412.0 
270,2448.0 
280,607.0 
