time,cpu@tsung_controller@ip-172-31-28-38 
0,3.1804651310867382 
10,3.1804651310867382 
20,3.1804651310867382 
30,4.195804195804196 
40,4.195804195804196 
50,4.195804195804196 
60,4.195804195804196 
70,4.195804195804196 
80,4.195804195804196 
90,4.195804195804196 
100,4.195804195804196 
110,7.852882703777336 
120,8.635917566241414 
130,8.635917566241414 
140,8.635917566241414 
150,8.635917566241414 
160,8.635917566241414 
170,8.635917566241414 
180,8.635917566241414 
190,8.635917566241414 
200,8.635917566241414 
210,8.635917566241414 
220,8.635917566241414 
230,8.635917566241414 
240,8.635917566241414 
250,8.635917566241414 
