time,page 
0,4.8 
10,10 
20,14.7 
30,21.2 
40,27.2 
50,33.5 
60,35.8 
70,34.7 
80,32.8 
90,38.8 
100,88.6 
110,121.5 
120,134.2 
130,137.8 
140,135 
150,123 
160,121.1 
170,116.1 
180,99.6 
190,91.7 
200,73.9 
210,67.9 
220,58.7 
230,32 
240,8.8 
250,0.9 
