time,users,connected 
0,8,7 
10,20,20 
20,28,28 
30,39,39 
40,52,52 
50,75,74 
60,101,101 
70,138,137 
80,180,180 
90,243,241 
100,316,315 
110,385,384 
120,511,506 
130,663,662 
140,800,797 
150,1026,857 
160,1321,848 
170,1479,837 
180,1392,849 
190,1271,848 
200,1110,844 
210,955,855 
220,751,755 
230,555,560 
240,362,374 
250,187,196 
260,59,62 
270,11,14 
280,1,1 
287,0,0 
