time,cpu@tsung_controller@ip-172-31-28-38 
0,3.1804651310867382 
10,1.0999999999999999 
20,1.0999999999999999 
30,1.0999999999999999 
40,1.0999999999999999 
50,1.0070493454179255 
60,1.0070493454179255 
70,1.0070493454179255 
80,1.0070493454179255 
90,1.0070493454179255 
100,1.0070493454179255 
110,1.0070493454179255 
120,1.0070493454179255 
130,1.0070493454179255 
140,1.0070493454179255 
150,1.0070493454179255 
160,1.0070493454179255 
170,1.0070493454179255 
180,1.0070493454179255 
190,1.0070493454179255 
200,1.0070493454179255 
210,1.0070493454179255 
220,1.0070493454179255 
230,1.0070493454179255 
240,1.0070493454179255 
250,1.0070493454179255 
