time,cpu@tsung_controller@ip-172-31-28-38 
0,3.1804651310867382 
10,1.0999999999999999 
20,1.5 
30,4.195804195804196 
40,1.4084507042253522 
50,1.0070493454179255 
60,1.2108980827447022 
70,1.513622603430878 
80,1.9153225806451613 
90,3.819095477386935 
100,2.5176233635448138 
110,7.852882703777336 
120,8.635917566241414 
130,7.941176470588235 
140,7.964601769911504 
150,6.132542037586548 
160,5.357142857142857 
170,6.021717670286279 
180,5.450941526263628 
190,4.1206030150753765 
200,6.679960119641076 
210,4.426559356136821 
220,4.317269076305221 
230,6.633165829145729 
240,3.2 
250,2.8000000000000003 
