time,page 
0,67.04023316718933 
10,123.76273056979296 
20,82.51537255813463 
30,111.52781693758654 
40,140.41554247656018 
50,253.56366959182782 
60,339.8647478099725 
70,790.1346492546278 
80,794.4858828392911 
90,1348.696717151764 
100,2593.0439381631654 
110,2382.658456828607 
120,2059.1907071590404 
130,1597.890377417711 
140,1423.4587751737743 
150,1117.2916346183804 
160,955.9852242778564 
170,896.3716285795317 
180,746.0442242318734 
190,609.6168190519717 
200,617.1764335375834 
210,627.1220280156067 
220,655.9632677692789 
230,731.4179088334113 
240,621.184654393474 
250,547.6472049492578 
260,157.28141965948728 
270,27.776657066048678 
280,25.209903371327616 
287,4.8438719726578245 
