time,size_sent,size_rcv 
0,15.7296875,44.915625 
10,70.9328125,261.2078125 
20,144.81875,801.228125 
30,276.875,1564.459375 
40,438.21328125,2472.04375 
50,665.59453125,4157.38046875 
60,941.490625,5678.046875 
70,1206.32734375,7153.85703125 
80,1451.5828125,8809.32734375 
90,1748.9875,10152.153125 
100,2222.96953125,12010.31640625 
110,2949.5234375,13525.67578125 
120,3828.55859375,15662.80625 
130,4759.52890625,18763.15859375 
140,5666.69765625,22206.8421875 
150,6547.96328125,25699.74296875 
160,7409.6234375,29055.95390625 
170,8215.58671875,32343.4671875 
180,8979.9078125,35579.975 
190,9636.96171875,39051.46953125 
200,10205.49609375,42854.6671875 
210,10717.60703125,46913.84375 
220,11143.2421875,50934.303125 
230,11440.4625,53750.5140625 
240,11526.38828125,54865.57734375 
246,11538.99921875,55005.5421875 
