time,cpu@tsung_controller@ip-172-31-24-43 
0,1.3124702107624882 
10,2.788844621513944 
20,1.3916500994035785 
30,1.787487586891758 
40,2.3856858846918487 
50,2.7695351137487636 
60,3.4653465346534658 
70,4.137931034482759 
80,4.047384007897334 
90,3.865213082259663 
100,5.653021442495127 
110,11.02661596958175 
120,12.535344015080113 
130,10.869565217391305 
140,11.57495256166983 
150,7.930367504835589 
160,7.6773566569484935 
170,8.551992225461614 
180,13.76953125 
190,7.536231884057972 
200,8.333333333333332 
210,6.200787401574804 
220,7.421875 
230,7.534246575342466 
240,4.6351084812623276 
246,1.5968063872255487 
