time,users,connected 
0,9,8 
10,15,7 
20,22,7 
30,40,16 
40,61,22 
50,82,21 
60,109,27 
70,143,30 
80,171,30 
90,232,63 
100,315,83 
110,399,81 
120,407,5 
130,407,-3 
140,407,-7 
150,407,-14 
160,407,-10 
170,407,-15 
180,407,-22 
190,407,-23 
200,407,-39 
210,407,-55 
220,407,-85 
230,407,-84 
240,407,-37 
246,407,-6 
