time,users,connected 
0,4,4 
10,9,9 
20,17,17 
30,30,29 
40,49,48 
50,76,76 
60,105,103 
70,146,143 
80,182,181 
90,244,241 
100,328,326 
110,401,400 
120,424,424 
130,420,420 
140,413,413 
150,402,402 
160,384,385 
170,373,373 
180,342,343 
190,309,309 
200,266,266 
210,202,202 
220,84,84 
230,29,32 
240,8,8 
249,0,0 
