time,page 
0,197.0 
10,320.776 
20,330.726 
30,330.726 
40,1480.21 
50,1957.76 
60,1957.76 
70,4757.313 
80,7836.316 
90,8178.799 
100,10014.595 
110,11111.965 
120,11168.383 
130,11168.383 
140,11168.383 
150,11168.383 
160,11168.383 
170,11168.383 
180,11168.383 
190,11168.383 
200,11168.383 
210,11168.383 
220,11168.383 
230,11168.383 
240,11168.383 
249,11168.383 
