time,cpu@tsung_controller@ip-172-31-24-43 
0,1.4889739804391955 
10,2.197802197802198 
20,2.197802197802198 
30,2.197802197802198 
40,2.197802197802198 
50,2.197802197802198 
60,3.5211267605633805 
70,7.971745711402624 
80,7.971745711402624 
90,7.971745711402624 
100,7.971745711402624 
110,7.971745711402624 
120,8.070866141732283 
130,9.268292682926829 
140,9.268292682926829 
150,9.268292682926829 
160,9.268292682926829 
170,9.268292682926829 
180,9.268292682926829 
190,9.268292682926829 
200,9.268292682926829 
210,9.268292682926829 
220,9.268292682926829 
230,9.268292682926829 
240,9.268292682926829 
249,9.268292682926829 
