time,recvpackets@tsung_controller@ip-172-31-26-42 
10,136 
20,294.0 
30,147.0 
40,79.0 
50,108.0 
60,13.0 
70,79.0 
80,56.0 
90,54.0 
100,94.0 
110,85.0 
120,159.0 
130,96.0 
140,147.0 
150,54.0 
160,75.0 
170,167.0 
180,49.0 
190,82.0 
200,54.0 
210,73.0 
