time,session 
0,9.539 
10,8.767 
20,8.767 
30,8.732 
40,8.732 
50,8.732 
60,8.732 
70,8.732 
80,8.229 
90,8.229 
100,8.229 
110,8.194 
120,8.194 
130,8.194 
140,8.194 
150,8.194 
160,8.194 
170,8.194 
180,8.194 
190,8.194 
200,8.194 
210,8.194 
