time,cpu@tsung_controller@ip-172-31-26-42 
0,1.0217826986890954 
10,1.1988011988011988 
20,4.790419161676647 
30,4.790419161676647 
40,4.790419161676647 
50,4.790419161676647 
60,4.790419161676647 
70,4.790419161676647 
80,4.790419161676647 
90,4.790419161676647 
100,4.790419161676647 
110,4.790419161676647 
120,4.790419161676647 
130,4.790419161676647 
140,4.790419161676647 
150,4.790419161676647 
160,4.790419161676647 
170,4.790419161676647 
180,4.790419161676647 
190,4.790419161676647 
200,4.790419161676647 
210,4.790419161676647 
