time,sentpackets@tsung_controller@ip-172-31-26-42 
10,197 
20,570.0 
30,250.0 
40,102.0 
50,138.0 
60,16.0 
70,97.0 
80,69.0 
90,67.0 
100,111.0 
110,105.0 
120,267.0 
130,120.0 
140,244.0 
150,68.0 
160,96.0 
170,284.0 
180,62.0 
190,100.0 
200,68.0 
210,92.0 
