time,200 
0,5 
10,18 
20,27 
30,40 
40,59 
50,63 
60,74 
70,82 
80,91 
90,102 
100,115 
110,128 
120,144 
130,153 
140,161 
150,174 
160,184 
170,195 
180,206 
190,218 
200,230 
210,236 
