time,load@tsung_controller@ip-172-31-26-42 
0,0.078125 
10,0.2109375 
20,0.2109375 
30,0.2109375 
40,0.2109375 
50,0.2109375 
60,0.2109375 
70,0.2109375 
80,0.2109375 
90,0.2109375 
100,0.2109375 
110,0.2109375 
120,0.2109375 
130,0.2109375 
140,0.2109375 
150,0.2109375 
160,0.2109375 
170,0.2109375 
180,0.2109375 
190,0.2109375 
200,0.2109375 
210,0.2109375 
