time,page 
0,20.719 
10,20.719 
20,30.353 
30,30.353 
40,30.353 
50,30.353 
60,30.353 
70,30.353 
80,30.353 
90,30.353 
100,30.353 
110,30.353 
120,30.353 
130,30.353 
140,30.353 
150,30.353 
160,30.353 
170,30.353 
180,30.353 
190,30.353 
200,30.353 
210,30.353 
