time,cpu@tsung_controller@ip-172-31-28-38 
0,2.0757267462542153 
10,2.697302697302697 
20,2.697302697302697 
30,2.697302697302697 
40,2.697302697302697 
50,2.697302697302697 
60,3.303303303303303 
70,3.303303303303303 
80,3.303303303303303 
90,4.417670682730924 
100,4.417670682730924 
110,17.374136229022703 
120,17.374136229022703 
130,17.374136229022703 
140,17.374136229022703 
150,17.374136229022703 
160,17.374136229022703 
170,17.374136229022703 
180,17.374136229022703 
190,17.374136229022703 
200,17.374136229022703 
210,17.374136229022703 
220,17.374136229022703 
230,17.374136229022703 
240,17.374136229022703 
247,17.374136229022703 
