time,cpu@tsung_controller@ip-172-31-28-38 
0,2.0757267462542153 
10,2.697302697302697 
20,0.5020080321285141 
30,1.103309929789368 
40,1.2036108324974923 
50,1.4014014014014013 
60,3.303303303303303 
70,2.208835341365462 
80,1.917255297679112 
90,4.417670682730924 
100,2.908726178535607 
110,17.374136229022703 
120,11.242603550295858 
130,6.620553359683795 
140,4.676616915422885 
150,4.032258064516129 
160,3.510531594784353 
170,3.6217303822937628 
180,4.5 
190,4.008016032064128 
200,4.632426988922457 
210,4.317269076305221 
220,5.639476334340383 
230,7.477567298105684 
240,4.1000000000000005 
247,0.7976071784646062 
