time,page 
0,63.086812774151674 
10,86.95327237172415 
20,106.92459600594292 
30,81.0306866383276 
40,123.88857745887886 
50,274.26244548337945 
60,475.3034715684222 
70,865.2077173679022 
80,748.4205375214398 
90,1545.1726865125372 
100,2036.283573268543 
110,2338.017524700709 
120,2118.793325917446 
130,1380.0715522357568 
140,1323.9840593345568 
150,1209.7053805029 
160,1106.839187106465 
170,1095.8631771392706 
180,893.0715088214574 
190,889.4787762281054 
200,671.1331632018561 
210,699.1701523627959 
220,308.4215342648107 
230,27.298212525856766 
240,24.8164356120399 
247,25.094605869788033 
