time,size_sent,size_rcv 
0,18.13125,44.1203125 
10,61.8109375,233.89453125 
20,164.34765625,824.19453125 
30,298.31875,1812.91953125 
40,501.21015625,3021.7765625 
50,731.5890625,4874.50625 
60,1022.40703125,6858.53515625 
70,1287.49921875,8535.73125 
80,1567.7484375,9777.6359375 
90,1866.30390625,11350.24453125 
100,2344.31640625,13096.37890625 
110,3094.73125,15347.86015625 
120,3943.47109375,18011.50234375 
130,4783.5828125,21624.03046875 
140,5635.32734375,26494.946875 
150,6442.50078125,30678.34609375 
160,7236.475,34565.7140625 
170,8012.53828125,39010.296875 
180,8745.6703125,43306.42890625 
190,9445.1640625,48476.2828125 
200,10050.61796875,54259.63984375 
210,10604.17109375,60873.22265625 
220,11071.39453125,66271.746875 
230,11270.69921875,68952.3609375 
240,11303.46640625,69592.71484375 
247,11307.46953125,69663.46015625 
