time,recvpackets@tsung_controller@ip-172-31-28-38 
10,1238 
20,370.0 
30,588.0 
40,1144.0 
50,1123.0 
60,299.0 
70,372.0 
80,321.0 
90,436.0 
100,829.0 
110,1423.0 
120,1716.0 
130,1799.0 
140,1706.0 
150,1675.0 
160,1656.0 
170,1511.0 
180,1376.0 
190,1385.0 
200,1205.0 
210,1035.0 
220,1.3e3 
230,879.0 
240,903.0 
250,651.0 
260,618.0 
270,560.0 
280,534.0 
290,474.0 
300,678.0 
310,682.0 
320,448.0 
330,636.0 
340,816.0 
350,1044.0 
360,714.0 
370,716.0 
380,496.0 
390,599.0 
400,625.0 
410,585.0 
420,763.0 
430,652.0 
440,438.0 
450,446.0 
460,813.0 
470,761.0 
476,489.0 
