time,sentpackets@tsung_controller@ip-172-31-28-38 
10,951 
20,951 
30,951 
40,951 
50,951 
60,951 
70,951 
80,951 
90,951 
100,1116 
110,2124 
120,2811 
130,3354 
140,3354 
150,3354 
160,3354 
170,3354 
180,3354 
190,3354 
200,3354 
210,3354 
220,3354 
230,3354 
240,3354 
250,3354 
260,3354 
270,3354 
280,3354 
290,3354 
300,3354 
310,3354 
320,3354 
330,3354 
340,3354 
350,3354 
360,3354 
370,3354 
380,3354 
390,3354 
400,3354 
410,3354 
420,3354 
430,3354 
440,3354 
450,3354 
460,3354 
470,3354 
476,3354 
