time,502,200,500,302,504 
80,10,319,75,333, 
90,313,370,92,339, 
100,1037,414,109,340, 
110,2199,462,118,342, 
120,3779,469,129,343, 
130,5305,480,142,343,1 
140,6860,487,159,343,2 
150,8334,498,187,345,5 
160,9671,503,206,346,5 
170,10799,505,243,363,12 
180,11688,513,299,397,12 
190,12335,527,360,423,12 
200,12896,536,411,450,12 
210,13360,543,462,471,12 
220,13688,560,525,486,12 
230,13926,574,587,500,12 
240,14092,579,638,537,12 
250,14168,592,696,572,12 
260,14195,603,764,596,12 
270,14204,609,836,618,12 
280,14205,621,904,648,12 
290,14205,637,979,669,12 
300,14205,655,1041,688,12 
310,14205,665,1096,714,12 
320,14205,679,1167,751,12 
330,14205,690,1236,784,12 
340,14205,711,1289,822,12 
350,14205,729,1351,860,12 
360,14205,745,1410,911,12 
370,14205,758,1461,930,12 
380,14205,769,1517,978,12 
390,14205,785,1576,1012,12 
400,14205,797,1633,1040,12 
410,14205,807,1689,1065,12 
420,14205,826,1725,1093,12 
430,14205,833,1755,1117,12 
440,14205,845,1783,1156,12 
450,14205,851,1785,1178,12 
460,14205,860,1786,1190,12 
470,14205,862,1786,1194,12 
476,14205,862,1786,1195,12 
