time,sentpackets@tsung_controller@ip-172-31-28-38 
10,951 
20,300.0 
30,452.0 
40,691.0 
50,831.0 
60,253.0 
70,385.0 
80,338.0 
90,452.0 
100,1116.0 
110,2124.0 
120,2811.0 
130,3354.0 
140,3187.0 
150,3121.0 
160,3077.0 
170,2808.0 
180,2422.0 
190,2045.0 
200,1607.0 
210,1460.0 
220,1442.0 
230,953.0 
240,864.0 
250,658.0 
260,503.0 
270,414.0 
280,403.0 
290,356.0 
300,408.0 
310,410.0 
320,305.0 
330,408.0 
340,541.0 
350,650.0 
360,452.0 
370,466.0 
380,303.0 
390,407.0 
400,399.0 
410,381.0 
420,522.0 
430,370.0 
440,275.0 
450,311.0 
460,553.0 
470,511.0 
476,422.0 
