time,users,connected 
0,6,6 
10,16,10 
20,27,11 
30,31,4 
40,53,21 
50,70,17 
60,103,33 
70,142,40 
80,182,38 
90,245,62 
100,319,75 
110,385,67 
120,428,44 
130,428,0 
140,428,-12 
150,428,-15 
160,428,-28 
170,428,-35 
180,428,-28 
190,428,-30 
200,428,-20 
210,428,-25 
220,428,-15 
230,428,-11 
240,428,-12 
250,428,-14 
260,428,-5 
270,428,-6 
280,428,-3 
290,428,-3 
300,428,-3 
310,428,-8 
320,428,-12 
330,428,-6 
340,428,-10 
350,428,-13 
360,428,-16 
370,428,-6 
380,428,-19 
390,428,-7 
400,428,-12 
410,428,-8 
420,428,-14 
430,428,-7 
440,428,-11 
450,428,-9 
460,428,-4 
470,428,0 
476,428,-1 
