time,page 
0,7.344 
10,7.344 
20,7.049 
30,7.049 
40,7.049 
50,7.049 
60,7.049 
70,7.049 
80,1.612 
90,0.534 
100,0.528 
110,0.528 
120,0.487 
130,0.487 
140,0.487 
150,0.487 
160,0.487 
170,0.487 
180,0.487 
190,0.487 
200,0.487 
210,0.487 
220,0.487 
230,0.487 
240,0.487 
250,0.487 
260,0.487 
270,0.487 
280,0.487 
290,0.487 
300,0.487 
310,0.487 
320,0.487 
330,0.487 
340,0.487 
350,0.487 
360,0.487 
370,0.487 
380,0.487 
390,0.487 
400,0.487 
410,0.487 
420,0.487 
430,0.487 
440,0.487 
450,0.487 
460,0.487 
470,0.487 
476,0.487 
