time,page 
0,127.53692498370737 
10,44.729691216968895 
20,57.68546819019935 
30,75.00942954038815 
40,168.91651191162504 
50,384.1135736277854 
60,609.004858204545 
70,685.6982066001049 
80,870.5973613052323 
90,2258.311705026829 
100,1991.857673507647 
110,2290.9697087120303 
120,1968.9517539418007 
130,1500.6838894078355 
140,1345.0508452522993 
150,1198.9305773330186 
160,1119.5567117611142 
170,1376.9099824863424 
180,866.6823117720071 
190,1063.0439270641432 
200,744.8065915708444 
210,625.7883180396963 
220,97.42383835459182 
230,32.68449703638626 
240,33.87033542494983 
243,0.0 
