time,cpu@tsung_controller@ip-172-31-28-38 
0,2.0369348842786907 
10,2.404809619238477 
20,2.404809619238477 
30,2.404809619238477 
40,2.404809619238477 
50,2.404809619238477 
60,2.404809619238477 
70,2.404809619238477 
80,2.404809619238477 
90,4.116465863453815 
100,4.116465863453815 
110,4.67005076142132 
120,4.713114754098361 
130,4.713114754098361 
140,4.72764645426516 
150,4.72764645426516 
160,4.72764645426516 
170,4.72764645426516 
180,4.72764645426516 
190,4.72764645426516 
200,5.0352467270896275 
210,5.905905905905906 
220,6.212424849699398 
230,6.212424849699398 
240,6.212424849699398 
243,6.212424849699398 
