time,users,connected 
0,8,7 
10,14,14 
20,18,18 
30,35,35 
40,56,55 
50,80,80 
60,114,113 
70,152,150 
80,198,198 
90,269,269 
100,342,342 
110,409,407 
120,418,418 
130,411,411 
140,403,404 
150,392,392 
160,377,378 
170,351,352 
180,326,328 
190,288,289 
200,219,220 
210,124,124 
220,42,42 
230,13,13 
240,0,1 
243,0,0 
