time,cpu@tsung_controller@ip-172-31-28-38 
0,2.4178891589917413 
10,2.0 
20,1.097804391217565 
30,0.6030150753768844 
40,1.3 
50,1.407035175879397 
60,1.903807615230461 
70,2.3162134944612287 
80,2.6078234704112337 
90,4.191616766467066 
100,2.8368794326241136 
110,5.342741935483871 
120,4.294478527607362 
130,5.7026476578411405 
140,3.0706243602865912 
150,5.010224948875256 
160,3.3776867963152504 
170,3.36734693877551 
180,3.1568228105906315 
190,3.9755351681957185 
200,4.65587044534413 
210,5.817452357071214 
220,6.438631790744467 
230,4.012036108324975 
240,1.7999999999999998 
250,2.1999999999999997 
252,2.0 
