time,users,connected 
0,10,9 
10,18,9 
20,26,7 
30,36,8 
40,59,24 
50,82,24 
60,112,30 
70,154,43 
80,186,31 
90,253,67 
100,322,69 
110,407,82 
120,423,17 
130,423,-2 
140,423,-8 
150,423,-15 
160,423,-18 
170,423,-14 
180,423,-22 
190,423,-39 
200,423,-52 
210,423,-103 
220,423,-93 
230,423,-41 
240,423,-9 
250,423,-3 
252,423,-1 
