time,users,connected 
0,10,9 
10,18,18 
20,26,25 
30,36,33 
40,59,57 
50,82,81 
60,112,111 
70,154,154 
80,186,185 
90,253,252 
100,322,321 
110,407,403 
120,420,420 
130,418,418 
140,410,410 
150,395,395 
160,377,377 
170,363,363 
180,340,341 
190,301,302 
200,250,250 
210,147,147 
220,54,54 
230,12,13 
240,4,4 
250,0,1 
252,0,0 
