time,recvpackets@tsung_controller@ip-172-31-28-38 
10,409 
20,419 
30,867 
40,1304 
50,1922 
60,1922 
70,3340 
80,3340 
90,3340 
100,3340 
110,4038 
120,4038 
130,4200 
140,6488 
150,6575 
160,6764 
170,7100 
180,7100 
190,7100 
200,7100 
210,7451 
220,8086 
230,8086 
240,8086 
250,8086 
252,8086 
