time,sentpackets@tsung_controller@ip-172-31-28-38 
10,380 
20,380 
30,631 
40,951 
50,1380 
60,1380 
70,2225 
80,2225 
90,2225 
100,2225 
110,3290 
120,3662 
130,3984 
140,5011 
150,5011 
160,5011 
170,5011 
180,5011 
190,5011 
200,5011 
210,5011 
220,5011 
230,5011 
240,5011 
250,5011 
252,5011 
