time,sentpackets@tsung_controller@ip-172-31-28-38 
10,491 
20,794.0 
30,833.0 
40,1324.0 
50,1563.0 
60,1487.0 
70,2021.0 
80,1939.0 
90,1707.0 
100,2491.0 
110,3790.0 
120,4404.0 
130,4533.0 
140,4477.0 
150,4484.0 
160,4490.0 
170,3927.0 
180,3953.0 
190,4139.0 
200,3332.0 
210,3041.0 
220,3164.0 
230,2759.0 
240,1025.0 
246,378.0 
