time,cpu@tsung_controller@ip-172-31-28-38 
0,9.568345323741006 
10,9.568345323741006 
20,9.568345323741006 
30,9.568345323741006 
40,9.568345323741006 
50,9.568345323741006 
60,9.568345323741006 
70,9.568345323741006 
80,9.568345323741006 
90,9.568345323741006 
100,9.568345323741006 
110,9.80788675429727 
120,9.80788675429727 
130,9.80788675429727 
140,9.80788675429727 
150,9.80788675429727 
160,9.80788675429727 
170,9.80788675429727 
180,9.80788675429727 
190,9.80788675429727 
200,9.80788675429727 
210,9.80788675429727 
220,9.80788675429727 
230,9.80788675429727 
240,9.80788675429727 
246,9.80788675429727 
