time,page 
0,7.35 
10,7.346 
20,6.864 
30,6.687 
40,6.687 
50,6.687 
60,6.687 
70,6.687 
80,6.687 
90,0.529 
100,0.521 
110,0.521 
120,0.51 
130,0.51 
140,0.51 
150,0.51 
160,0.51 
170,0.51 
180,0.51 
190,0.51 
200,0.51 
210,0.51 
220,0.51 
230,0.51 
240,0.51 
246,0.51 
