time,cpu@tsung_controller@ip-172-31-28-38 
0,9.568345323741006 
10,2.3976023976023977 
20,3.8038038038038042 
30,2.21105527638191 
40,4.208416833667335 
50,4.819277108433735 
60,1.9076305220883536 
70,4.3 
80,7.292707292707293 
90,1.9153225806451613 
100,7.754279959718026 
110,9.80788675429727 
120,8.664627930682975 
130,7.967313585291114 
140,4.512820512820513 
150,2.564102564102564 
160,6.428571428571428 
170,2.9561671763506627 
180,4.605936540429887 
190,7.208121827411168 
200,3.741152679474216 
210,4.116465863453815 
220,5.61122244488978 
230,6.3 
240,2.1042084168336674 
246,0.9009009009009009 
