time,cpu@tsung_controller@ip-172-31-28-38 
0,4.493918572247764 
10,4.493918572247764 
20,4.493918572247764 
30,4.493918572247764 
40,4.493918572247764 
50,4.832347140039447 
60,4.832347140039447 
70,4.832347140039447 
80,4.832347140039447 
90,4.832347140039447 
100,6.195546950629235 
110,8.976833976833976 
120,9.611650485436893 
130,9.611650485436893 
140,9.611650485436893 
150,9.611650485436893 
160,9.611650485436893 
170,9.611650485436893 
180,9.611650485436893 
190,9.611650485436893 
200,9.611650485436893 
210,9.611650485436893 
220,9.611650485436893 
230,9.611650485436893 
240,9.611650485436893 
250,9.611650485436893 
254,9.611650485436893 
