time,users_count,finish_users_count 
0,9,0 
10,18,0 
20,30,0 
30,42,0 
40,54,0 
50,73,0 
60,107,1 
70,149,1 
80,180,3 
90,253,8 
100,334,10 
110,421,16 
120,437,20 
130,437,28 
140,437,39 
150,437,45 
160,437,59 
170,437,67 
180,437,90 
190,437,124 
200,437,171 
210,437,239 
220,437,350 
230,437,420 
240,437,433 
250,437,436 
254,437,437 
