time,recvpackets@tsung_controller@ip-172-31-28-38 
10,426 
20,426 
30,1288 
40,1288 
50,2119 
60,2401 
70,2601 
80,2601 
90,2601 
100,2601 
110,2806 
120,3711 
130,4041 
140,5316 
150,5830 
160,5830 
170,5830 
180,6071 
190,6071 
200,6074 
210,6221 
220,6454 
230,7374 
240,7374 
250,7374 
254,7374 
