time,users,connected 
0,9,9 
10,18,18 
20,30,30 
30,42,41 
40,54,54 
50,73,72 
60,106,104 
70,148,147 
80,177,176 
90,245,244 
100,324,324 
110,405,403 
120,417,417 
130,409,409 
140,398,398 
150,392,392 
160,378,378 
170,370,370 
180,347,347 
190,313,314 
200,266,268 
210,198,198 
220,87,87 
230,17,19 
240,4,4 
250,1,1 
254,0,0 
