time,cpu@tsung_controller@ip-172-31-28-38 
0,4.493918572247764 
10,3.081510934393638 
20,1.5904572564612325 
30,4.437869822485207 
40,2.8627838104639687 
50,4.832347140039447 
60,4.133858267716536 
70,3.8499506416584404 
80,3.6597428288822944 
90,3.8385826771653546 
100,6.195546950629235 
110,8.976833976833976 
120,9.611650485436893 
130,8.03134182174339 
140,6.673209028459273 
150,7.03125 
160,6.206896551724138 
170,6.496062992125983 
180,8.456243854473943 
190,7.288629737609329 
200,6.330365974282888 
210,6.791338582677166 
220,7.797270955165692 
230,7.549019607843137 
240,4.586241276171486 
250,0.9970089730807578 
254,0.4985044865403789 
