time,cpu@tsung_controller@ip-172-31-28-38 
0,4.493918572247764 
10,3.081510934393638 
20,1.5904572564612325 
30,1.5904572564612325 
40,1.5904572564612325 
50,1.5904572564612325 
60,1.5904572564612325 
70,1.5904572564612325 
80,1.5904572564612325 
90,1.5904572564612325 
100,1.5904572564612325 
110,1.5904572564612325 
120,1.5904572564612325 
130,1.5904572564612325 
140,1.5904572564612325 
150,1.5904572564612325 
160,1.5904572564612325 
170,1.5904572564612325 
180,1.5904572564612325 
190,1.5904572564612325 
200,1.5904572564612325 
210,1.5904572564612325 
220,1.5904572564612325 
230,1.5904572564612325 
240,1.5904572564612325 
250,0.9970089730807578 
254,0.4985044865403789 
