time,cpu@tsung_controller@ip-172-31-24-43 
0,1.2921173044925125 
10,0.999000999000999 
20,1.0 
30,3.3932135728542914 
40,7.792207792207792 
50,2.814070351758794 
60,1.710261569416499 
70,2.0060180541624875 
80,3.911735205616851 
90,3.7037037037037033 
100,2.2155085599194364 
110,4.7283702213279675 
120,4.5778229908443535 
130,3.6734693877551026 
140,2.0408163265306123 
150,2.051282051282051 
160,2.151639344262295 
170,3.6734693877551026 
180,2.5458248472505094 
190,2.9292929292929295 
200,3.2454361054766734 
210,4.723618090452261 
220,3.931451612903226 
230,3.5246727089627394 
240,4.112337011033099 
250,2.1912350597609564 
259,0.7021063189568706 
