time,page 
0,40.08000059201068 
10,143.49944247505752 
20,106.59656540101136 
30,98.25963088640718 
40,187.92736886196388 
50,269.88393599266635 
60,896.9213071539968 
70,911.5340869385922 
80,1105.7528887210062 
90,1590.0039197891856 
100,2289.385557514023 
110,2629.3312699297 
120,2089.6803020120647 
130,2192.161511132863 
140,1618.5302535431927 
150,1814.0185508418845 
160,1790.2588476915123 
170,1502.3618611218828 
180,1403.2202960661268 
190,1534.2489260508914 
200,1879.1433488305613 
210,953.0009692460189 
220,900.9393088814037 
230,869.7228200235422 
240,304.8201700580898 
250,51.42604754037925 
259,65.83210448367879 
